timestamp,location,temperature,dew_point_temperature,relative_humidity,pressure,wind_speed,wind_direction,rainfall,year,month,day,hour,day_of_year,sin_day,cos_day,sin_hour,cos_hour,temp_rolling_7d,press_rolling_7d,rh_rolling_7d,rain_rolling_7d_sum,temp_rolling_30d,press_rolling_30d,rh_rolling_30d,rain_rolling_30d_sum
2024-01-01 00:00:00,Bengaluru,18.0,17.0,94.0,1018.0,4.1,100.0,0.0,2024,1,1,0,1,0.017202,0.999852,0.0,1.0,18.0,1018.0,94.0,0.0,18.0,1018.0,94.0,0.0
2024-01-01 00:30:00,Bengaluru,18.0,17.0,94.0,1018.0,3.1,110.0,0.0,2024,1,1,0,1,0.017202,0.999852,0.0,1.0,18.0,1018.0,94.0,0.0,18.0,1018.0,94.0,0.0
2024-01-01 01:00:00,Bengaluru,18.0,17.0,94.0,1019.0,3.1,90.0,0.0,2024,1,1,1,1,0.017202,0.999852,0.258819,0.965926,18.0,1018.33,94.0,0.0,18.0,1018.33,94.0,0.0
2024-01-01 01:30:00,Bengaluru,18.0,17.0,94.0,1019.0,3.1,100.0,0.0,2024,1,1,1,1,0.017202,0.999852,0.258819,0.965926,18.0,1018.5,94.0,0.0,18.0,1018.5,94.0,0.0
2024-01-01 02:00:00,Bengaluru,18.0,17.0,94.0,1019.0,3.1,80.0,0.0,2024,1,1,2,1,0.017202,0.999852,0.5,0.866025,18.0,1018.6,94.0,0.0,18.0,1018.6,94.0,0.0
2024-01-01 02:30:00,Bengaluru,19.0,17.0,88.0,1019.0,3.1,100.0,0.0,2024,1,1,2,1,0.017202,0.999852,0.5,0.866025,18.17,1018.67,93.0,0.0,18.17,1018.67,93.0,0.0
2024-01-01 03:00:00,Bengaluru,20.0,18.0,88.0,1020.0,3.1,80.0,0.0,2024,1,1,3,1,0.017202,0.999852,0.707107,0.707107,18.43,1018.86,92.29,0.0,18.43,1018.86,92.29,0.0
2024-01-01 03:30:00,Bengaluru,21.0,18.0,83.0,1020.0,2.6,90.0,0.0,2024,1,1,3,1,0.017202,0.999852,0.707107,0.707107,18.75,1019.0,91.12,0.0,18.75,1019.0,91.12,0.0
2024-01-01 04:00:00,Bengaluru,21.0,18.0,83.0,1021.0,3.1,90.0,0.0,2024,1,1,4,1,0.017202,0.999852,0.866025,0.5,19.0,1019.22,90.22,0.0,19.0,1019.22,90.22,0.0
2024-01-01 04:30:00,Bengaluru,23.0,18.0,74.0,1021.0,2.6,90.0,0.0,2024,1,1,4,1,0.017202,0.999852,0.866025,0.5,19.4,1019.4,88.6,0.0,19.4,1019.4,88.6,0.0
2024-01-01 05:00:00,Bengaluru,24.0,18.0,69.0,1021.0,2.6,110.0,0.0,2024,1,1,5,1,0.017202,0.999852,0.965926,0.258819,19.82,1019.55,86.82,0.0,19.82,1019.55,86.82,0.0
2024-01-01 05:30:00,Bengaluru,25.0,18.0,65.0,1020.0,3.1,90.0,0.0,2024,1,1,5,1,0.017202,0.999852,0.965926,0.258819,20.25,1019.58,85.0,0.0,20.25,1019.58,85.0,0.0
2024-01-01 06:00:00,Bengaluru,26.0,18.0,61.0,1020.0,2.6,70.0,0.0,2024,1,1,6,1,0.017202,0.999852,1.0,0.0,20.69,1019.62,83.15,0.0,20.69,1019.62,83.15,0.0
2024-01-01 06:30:00,Bengaluru,27.0,18.0,58.0,1019.0,3.1,70.0,0.0,2024,1,1,6,1,0.017202,0.999852,1.0,0.0,21.14,1019.57,81.36,0.0,21.14,1019.57,81.36,0.0
2024-01-01 07:00:00,Bengaluru,27.0,18.0,58.0,1018.0,2.1,90.0,0.0,2024,1,1,7,1,0.017202,0.999852,0.965926,-0.258819,21.53,1019.47,79.8,0.0,21.53,1019.47,79.8,0.0
2024-01-01 07:30:00,Bengaluru,28.0,17.0,51.0,1018.0,2.1,90.0,0.0,2024,1,1,7,1,0.017202,0.999852,0.965926,-0.258819,21.94,1019.38,78.0,0.0,21.94,1019.38,78.0,0.0
2024-01-01 08:00:00,Bengaluru,29.0,17.0,48.0,1017.0,2.1,50.0,0.0,2024,1,1,8,1,0.017202,0.999852,0.866025,-0.5,22.35,1019.24,76.24,0.0,22.35,1019.24,76.24,0.0
2024-01-01 08:30:00,Bengaluru,29.0,17.0,48.0,1016.0,2.1,150.0,0.0,2024,1,1,8,1,0.017202,0.999852,0.866025,-0.5,22.72,1019.06,74.67,0.0,22.72,1019.06,74.67,0.0
2024-01-01 09:00:00,Bengaluru,29.0,17.0,48.0,1016.0,3.1,100.0,0.0,2024,1,1,9,1,0.017202,0.999852,0.707107,-0.707107,23.05,1018.89,73.26,0.0,23.05,1018.89,73.26,0.0
2024-01-01 09:30:00,Bengaluru,30.0,17.0,46.0,1016.0,2.1,110.0,0.0,2024,1,1,9,1,0.017202,0.999852,0.707107,-0.707107,23.4,1018.75,71.9,0.0,23.4,1018.75,71.9,0.0
2024-01-01 10:00:00,Bengaluru,29.0,16.0,45.0,1016.0,2.6,80.0,0.0,2024,1,1,10,1,0.017202,0.999852,0.5,-0.866025,23.67,1018.62,70.62,0.0,23.67,1018.62,70.62,0.0
2024-01-01 10:30:00,Bengaluru,29.0,16.0,45.0,1015.0,3.1,120.0,0.0,2024,1,1,10,1,0.017202,0.999852,0.5,-0.866025,23.91,1018.45,69.45,0.0,23.91,1018.45,69.45,0.0
2024-01-01 11:00:00,Bengaluru,28.0,16.0,48.0,1016.0,3.6,120.0,0.0,2024,1,1,11,1,0.017202,0.999852,0.258819,-0.965926,24.09,1018.35,68.52,0.0,24.09,1018.35,68.52,0.0
2024-01-01 11:30:00,Bengaluru,28.0,16.0,48.0,1016.0,3.1,100.0,0.0,2024,1,1,11,1,0.017202,0.999852,0.258819,-0.965926,24.25,1018.25,67.67,0.0,24.25,1018.25,67.67,0.0
2024-01-01 12:00:00,Bengaluru,27.0,18.0,58.0,1016.0,2.6,140.0,0.0,2024,1,1,12,1,0.017202,0.999852,0.0,-1.0,24.36,1018.16,67.28,0.0,24.36,1018.16,67.28,0.0
2024-01-01 12:30:00,Bengaluru,26.0,17.0,58.0,1017.0,3.1,130.0,0.0,2024,1,1,12,1,0.017202,0.999852,0.0,-1.0,24.42,1018.12,66.92,0.0,24.42,1018.12,66.92,0.0
2024-01-01 13:00:00,Bengaluru,25.0,17.0,61.0,1017.0,3.1,130.0,0.0,2024,1,1,13,1,0.017202,0.999852,-0.258819,-0.965926,24.44,1018.07,66.7,0.0,24.44,1018.07,66.7,0.0
